experiment,rate_input,hyper,workers,batch_size,size_dist,denorm,rate_observed,messages,duration_sec,latency_consume_mean_ns,latency_consume_p99_ns,latency_produce_mean_ns,latency_batch_mean_ns,memory_heap_mb,memory_gc_count,peak_lag,peak_buffer,avg_batch_rows,avg_batch_kb,avg_expansion_columns,avg_fanout
crossover_small_ht_true,20000,true,8,1000,small,true,9280.10,139198,14.999619,14409,62208,861675,6764,310.29,31,624,7685,1933,241.97,8.00,2.00
crossover_small_ht_false,20000,false,8,1000,small,true,11186.97,167803,14.999855,20614,72042,714787,6290,69.84,45,1190,7810,1998,250.18,8.00,2.00
crossover_medium_ht_true,20000,true,8,1000,medium,true,6944.43,104165,14.999788,21578,75208,1151560,7954,690.06,29,382,7849,9437,1222.53,8.00,10.06
crossover_medium_ht_false,20000,false,8,1000,medium,true,7424.89,111372,14.999809,34692,106208,1077057,11413,662.15,35,597,7690,9946,1290.97,8.00,10.00
crossover_large_ht_true,20000,true,8,1000,large,true,1307.59,19614,15.000113,105513,573084,6118489,103418,1972.48,24,126,7897,90145,11797.99,8.00,110.17
crossover_large_ht_false,20000,false,8,1000,large,true,1361.02,20416,15.000484,160268,898666,5878127,43576,1051.86,26,165,7911,95396,12544.09,8.00,112.12
crossover_heavy-tail_ht_true,20000,true,8,1000,heavy-tail,true,4803.11,72047,15.000082,47826,197750,1661618,12374,797.41,33,479,7681,67543,8927.05,8.00,71.66
crossover_heavy-tail_ht_false,20000,false,8,1000,heavy-tail,true,4812.50,72187,14.999911,73099,252459,1661512,11690,814.81,38,437,7820,66576,8780.96,8.00,73.36
batch_100,50000,true,8,100,heavy-tail,true,5419.90,81297,14.999724,45231,171042,1475621,7053,473.48,44,275,721,7175,938.23,8.00,71.99
batch_500,50000,true,8,500,heavy-tail,true,4936.59,74048,14.999837,46972,180583,1620093,11060,689.71,36,258,3786,35349,4649.18,8.00,72.54
batch_1000,50000,true,8,1000,heavy-tail,true,4750.48,71257,14.999943,49249,218708,1683468,13186,856.66,33,278,7784,72581,9544.12,8.00,73.34
batch_5000,50000,true,8,5000,heavy-tail,true,3761.00,56415,15.000007,69489,451542,2126325,57792,1666.72,27,412,39485,251451,32980.48,8.00,71.20
batch_10000,50000,true,8,10000,heavy-tail,true,3416.62,51249,14.999907,76348,467750,2340938,77948,2425.05,27,240,51249,463024,60608.82,8.00,72.28
struct_nested,50000,true,8,1000,heavy-tail,false,5189.99,103800,20.000052,52225,164167,1540495,290128,578.20,35,360,7720,979,9219.72,9.00,1.00
struct_denorm,50000,true,8,1000,heavy-tail,true,4803.75,96075,19.999997,47867,185791,1664913,9761,672.81,37,281,7787,69314,9097.95,8.00,72.36
saturation_10000,10000,true,8,1000,heavy-tail,true,4933.54,74003,14.999970,49252,213125,1620902,9881,826.18,33,242,7744,65996,8728.60,8.00,71.34
saturation_50000,50000,true,8,1000,heavy-tail,true,4778.72,71679,14.999611,48723,198083,1673626,16569,620.76,34,126,7822,72065,9507.94,8.00,72.39
saturation_100000,100000,true,8,1000,heavy-tail,true,4628.22,69423,14.999951,47767,188334,1728030,17455,679.97,33,163,7739,70428,9281.33,8.00,73.05
saturation_150000,150000,true,8,1000,heavy-tail,true,4395.80,65936,14.999764,56099,224500,1819354,14526,559.70,33,143,7848,66283,8740.02,8.00,72.43
saturation_200000,200000,true,8,1000,heavy-tail,true,5889.87,88348,14.999989,43431,181417,1357900,12830,806.26,35,523,7874,67377,8882.86,8.00,73.31
scale_2,50000,true,2,1000,heavy-tail,true,3047.43,45711,14.999830,34874,150042,655618,7247,387.97,34,196,1978,71383,9412.95,8.00,71.83
scale_4,50000,true,4,1000,heavy-tail,true,3997.27,59959,15.000003,45461,185083,1000185,10985,459.59,35,183,3891,68796,9090.18,8.00,73.16
scale_8,50000,true,8,1000,heavy-tail,true,4806.68,72100,14.999955,48882,205833,1663833,11123,630.03,33,317,7752,68110,8946.55,8.00,73.16
scale_16,50000,true,16,1000,heavy-tail,true,4590.07,68851,14.999974,60763,330083,3485137,16430,725.39,30,443,15914,62582,8251.12,8.00,72.50
